-0.121097 -95.055183,51.386580 -90.553768,76.710130 69.589502,25.690978 83.227286,-25.908450 86.694311,-76.761321 100.378599,-51.535698 -99.565600,17.093286 -63.944979,68.364138 -55.970434,59.900058 108.755107,8.487477 114.417345,-43.018454 118.299949,-84.444447 -105.090735,-34.474538 -67.510225,34.275595 -32.603294,84.430819 4.876455,42.842482 141.625446,-8.726873 145.502771,-60.019052 151.179640,-68.450340 -44.165222,-17.324364 -36.166085,51.386580 -0.553768,76.710130 159.589502,25.690978 173.227286,-25.908450 176.694311,-76.761321 -169.621401,-51.535698 -9.565600,-0.121097 -5.055183,68.364138 34.029566,59.900058 -161.244893,8.487477 -155.582655,-43.018454 -151.700051,-84.444447 -15.090735,-34.474538 22.489775,17.093286 26.055021,84.430819 94.876455,42.842482 -128.374554,-8.726873 -124.497229,-60.019052 -118.820360,-68.450340 45.834778,-17.324364 53.833915,34.275595 57.396706
52.565734 -93.997889,75.570096 67.237824,24.502922 79.678730,-27.093977 83.147739,-77.888563 98.268030,-50.359894 -103.018894,1.069094 -98.619951,69.528045 -59.037290,58.725277 105.399783,7.297285 110.854006,-44.197764 114.801726,-83.502105 -102.014393,-33.291409 -71.041949,18.282613 -67.502220,85.272975 10.494016,41.659245 138.121567,-9.916186 141.939953,-61.188554 147.846154,-67.289152 -47.285911,-16.136353 -39.724261,35.461224 -36.132218,75.570096 157.237824,24.502922 169.678730,-27.093977 173.147739,-77.888563 -171.731970,-50.359894 -13.018894,1.069094 -8.619951,52.565734 -3.997889,58.725277 -164.600217,7.297285 -159.145994,-44.197764 -155.198274,-83.502105 -12.014393,-33.291409 18.958051,18.282613 22.497780,69.528045 30.962710,41.659245 -131.878433,-9.916186 -128.060047,-61.188554 -122.153846,-67.289152 42.714089,-16.136353 50.275739,35.461224 53.867782,85.272975 100.494016
54.369728 -93.803484,73.813420 68.737952,22.683670 79.688867,-28.908207 83.167982,-79.593447 101.109864,-48.558678 -102.876758,2.891229 -98.631272,71.305353 -58.155022,56.925225 105.673805,5.475150 110.843980,-46.002159 114.903383,-81.940282 -95.039238,-31.479359 -71.008273,20.103022 -67.499947,86.197245 31.487367,39.847021 138.194038,-11.736567 141.932562,-62.976944 148.235304,-65.508176 -46.707904,-14.317157 -39.727447,37.275620 -36.082370,73.813420 158.737952,22.683670 169.688867,-28.908207 173.167982,-79.593447 -168.890136,-48.558678 -12.876758,2.891229 -8.631272,54.369728 -3.803484,56.925225 -164.326195,5.475150 -159.156020,-46.002159 -155.096617,-81.940282 -5.039238,-31.479359 18.991727,20.103022 22.500053,71.305353 31.844978,39.847021 -131.805962,-11.736567 -128.067438,-62.976944 -121.764696,-65.508176 43.292096,-14.317157 50.272553,37.275620 53.917630,86.197245 121.487367
56.172198 -93.579802,72.046426 69.926845,20.863905 79.695479,-30.721564 83.193353,-81.260323 105.082884,-46.756103 -102.752929,4.713402 -98.642222,73.075815 -57.069975,55.123434 105.911145,3.652977 110.833253,-47.805282 115.020249,-80.296024 -90.403694,-29.666380 -70.980586,21.922986 -67.494692,86.380887 59.420458,38.033865 138.256384,-13.556493 141.926714,-64.762603 148.691316,-63.723785 -46.219677,-12.497436 -39.732569,39.089151 -36.023921,72.046426 159.926845,20.863905 169.695479,-30.721564 173.193353,-81.260323 -164.917116,-46.756103 -12.752929,4.713402 -8.642222,56.172198 -3.579802,55.123434 -164.088855,3.652977 -159.166747,-47.805282 -154.979751,-80.296024 -0.403694,-29.666380 19.019414,21.922986 22.505308,73.075815 32.930025,38.033865 -131.743616,-13.556493 -128.073286,-64.762603 -121.308684,-63.723785 43.780323,-12.497436 50.267431,39.089151 53.976079,86.380887 149.420458
57.972998 -93.321852,70.271762 70.887004,19.043676 79.698955,-32.534007 83.224445,-82.862745 110.920854,-44.952233 -102.645150,6.535559 -98.652570,74.837203 -55.712281,53.320062 106.117246,1.830820 110.822059,-49.607075 115.154431,-78.604829 -87.152094,-27.852510 -70.958268,23.742458 -67.486078,85.727326 84.049069,36.219825 138.309710,-15.375914 141.922684,-66.545079 149.229398,-61.936489 -45.804175,-10.677239 -39.739347,40.901770 -35.955827,70.271762 160.887004,19.043676 169.698955,-32.534007 173.224445,-82.862745 -159.079146,-44.952233 -12.645150,6.535559 -8.652570,57.972998 -3.321852,53.320062 -163.882754,1.830820 -159.177941,-49.607075 -154.845569,-78.604829 2.847906,-27.852510 19.041732,23.742458 22.513922,74.837203 34.287719,36.219825 -131.690290,-15.375914 -128.077316,-66.545079 -120.770602,-61.936489 44.195825,-10.677239 50.260653,40.901770 54.044173,85.727326 174.049069
59.771950 -93.023475,68.491202 71.674434,17.223030 79.699654,-34.345498 83.261920,-84.345879 120.014710,-43.147122 -102.551500,8.357648 -98.662078,76.586114 -53.976798,51.515235 106.296542,0.008731 110.810628,-51.407467 115.308424,-76.884701 -84.769220,-26.037789 -70.940760,25.561392 -67.473696,84.528740 100.018048,34.404945 138.354980,-17.194783 141.920761,-68.323765 149.869666,-60.146673 -45.448368,-8.856616 -39.747515,42.713431 -35.876892,68.491202 161.674434,17.223030 169.699654,-34.345498 173.261920,-84.345879 -149.985290,-43.147122 -12.551500,8.357648 -8.662078,59.771950 -3.023475,51.515235 -163.703458,0.008731 -159.189372,-51.407467 -154.691576,-76.884701 5.230780,-26.037789 19.059240,25.561392 22.526304,76.586114 36.023202,34.404945 -131.645020,-17.194783 -128.079239,-68.323765 -120.130334,-60.146673 44.551632,-8.856616 50.252485,42.713431 54.123108,84.528740 -169.981952
61.568829 -92.676975,66.705974 72.328399,15.402015 79.697911,-36.155999 83.306521,-85.587973 134.884841,-41.340821 -102.470339,10.179616 -98.670503,78.317125 -51.698562,49.709060 106.452687,-1.813236 110.799188,-53.206377 115.485197,-75.145545 -82.961468,-24.222257 -70.927562,27.379741 -67.457097,83.061998 109.738031,32.589268 138.393047,-19.013053 141.921254,-70.097830 150.639282,-58.354628 -45.142133,-7.035617 -39.756818,44.524082 -35.785737,66.705974 162.328399,15.402015 169.697911,-36.155999 173.306521,-85.587973 -135.115159,-41.340821 -12.470339,10.179616 -8.670503,61.568829 -2.676975,49.709060 -163.547313,-1.813236 -159.200812,-53.206377 -154.514803,-75.145545 7.038532,-24.222257 19.072438,27.379741 22.542903,78.317125 38.301438,32.589268 -131.606953,-19.013053 -128.078746,-70.097830 -119.360718,-58.354628 44.857867,-7.035617 50.243182,44.524082 54.214263,83.061998 -160.261969
63.363348 -92.272609,64.916954 72.877202,13.580681 79.694035,-37.965471 83.359086,-86.335332 158.263805,-39.533375 -102.400252,12.001411 -98.677591,80.021103 -48.605784,47.901627 106.588716,-3.635027 110.787968,-55.003709 115.688319,-73.393191 -81.551862,-22.405955 -70.918217,29.197462 -67.435787,81.464140 115.919127,30.772837 138.424662,-20.830677 141.924494,-71.866105 151.575788,-56.560582 -44.877485,-5.214292 -39.767011,46.333669 -35.680763,64.916954 162.877202,13.580681 169.694035,-37.965471 173.359086,-86.335332 -111.736195,-39.533375 -12.400252,12.001411 -8.677591,63.363348 -2.272609,47.901627 -163.411284,-3.635027 -159.212032,-55.003709 -154.311681,-73.393191 8.448138,-22.405955 19.081783,29.197462 22.564213,80.021103 41.394216,30.772837 -131.575338,-20.830677 -128.075506,-71.866105 -118.424212,-56.560582 45.122515,-5.214292 50.232989,46.333669 54.319237,81.464140 -154.080873
65.155133 -91.797867,63.124780 73.341737,11.759078 79.688319,-39.773876 83.420567,-86.277115 -173.664607,-37.724826 -102.340016,13.822981 -98.683078,81.681612 -44.225022,46.093011 106.707173,-5.456591 110.777197,-56.799344 115.922119,-71.631267 -80.428290,-20.588926 -70.912308,31.014510 -67.409219,79.796472 120.089851,28.955697 138.450497,-22.647612 141.930838,-73.626913 152.732494,-54.764714 -44.648048,-3.392695 -39.777855,48.142131 -35.560100,63.124780 163.341737,11.759078 169.688319,-39.773876 173.420567,-86.277115 -83.664607,-37.724826 -12.340016,13.822981 -8.683078,65.155133 -1.797867,46.093011 -163.292827,-5.456591 -159.222803,-56.799344 -154.077881,-71.631267 9.571710,-20.588926 19.087692,31.014510 22.590781,81.681612 45.774978,28.955697 -131.549503,-22.647612 -128.069162,-73.626913 -117.267506,-54.764714 45.351952,-3.392695 50.222145,48.142131 54.439900,79.796472 -149.910149
66.943690 -91.236414,61.329928 73.737753,9.937257 79.681038,-41.581172 83.492052,-85.444094 -151.442773,-35.915215 -102.288563,15.644276 -98.686688,83.266613 -37.683073,44.283279 106.810207,-7.277875 110.767109,-58.593135 116.191900,-69.862138 -79.516644,-18.771213 -70.909453,32.830843 -67.376786,78.088164 123.052766,27.137890 138.471150,-24.463814 141.940671,-75.377757 154.187531,-52.967165 -44.448662,-1.570877 -39.789118,49.949402 -35.421552,61.329928 163.737753,9.937257 169.681038,-41.581172 173.492052,-85.444094 -61.442773,-35.915215 -12.288563,15.644276 -8.686688,66.943690 -1.236414,44.283279 -163.189793,-7.277875 -159.232891,-58.593135 -153.808100,-69.862138 10.483356,-18.771213 19.090547,32.830843 22.623214,83.266613 52.316927,27.137890 -131.528850,-24.463814 -128.059329,-75.377757 -115.812469,-52.967165 45.551338,-1.570877 50.210882,49.949402 54.578448,78.088164 -146.947234
68.728353 -90.566522,59.532758 74.077341,8.115270 79.672455,-43.387317 83.574789,-84.158791 -137.528670,-34.104580 -102.244957,17.465245 -98.688125,84.708023 -27.315799,42.472491 106.899649,-9.098828 110.757942,-60.384898 116.504230,-68.087400 -78.766130,-16.952861 -70.909300,34.646417 -67.337806,76.354350 125.246136,25.319460 138.487161,-26.279240 141.954415,-77.114782 156.059722,-51.168052 -44.275111,0.251109 -39.800570,51.755403 -35.262514,59.532758 164.077341,8.115270 169.672455,-43.387317 173.574789,-84.158791 -47.528670,-34.104580 -12.244957,17.465245 -8.688125,68.728353 -0.566522,42.472491 -163.100351,-9.098828 -159.242058,-60.384898 -153.495770,-68.087400 11.233870,-16.952861 19.090700,34.646417 22.662194,84.708023 62.684201,25.319460 -131.512839,-26.279240 -128.045585,-77.114782 -113.940278,-51.168052 45.724889,0.251109 50.199430,51.755403 54.737486,76.354350 -144.753864
70.508210 -89.758672,57.733548 74.369934,6.293169 79.662821,-45.192266 83.670218,-82.654823 -128.984687,-32.292960 -102.208372,19.285838 -98.687075,85.853483 -10.266512,40.660700 106.977067,-10.919397 110.749944,-62.174397 116.867339,-66.308168 -78.140841,-15.133916 -70.911520,36.461188 -67.291516,74.603523 126.923499,23.500452 138.499016,-28.093851 141.972532,-78.831754 158.537796,-49.367470 -44.123914,2.073210 -39.811982,53.560042 -35.079878,57.733548 164.369934,6.293169 169.662821,-45.192266 173.670218,-82.654823 -38.984687,-32.292960 -12.208372,19.285838 -8.687075,70.508210 0.241328,40.660700 -163.022933,-10.919397 -159.250056,-62.174397 -153.132661,-66.308168 11.859159,-15.133916 19.088480,36.461188 22.708484,85.853483 79.733488,23.500452 -131.500984,-28.093851 -128.027468,-78.831754 -111.462204,-49.367470 45.876086,2.073210 50.188018,53.560042 54.920122,74.603523 -143.076501
72.281971 -88.771770,55.932517 74.622998,4.471006 79.652380,-46.995967 83.780015,-81.041537 -123.456019,-30.480393 -102.178077,21.106008 -98.683204,86.407887 15.372853,38.847957 107.043813,-12.739533 110.743371,-63.961331 117.291690,-64.525237 -77.614712,-13.314425 -70.915809,38.275113 -67.237049,72.840764 128.239815,21.680912 138.507160,-29.907604 141.995532,-80.517994 161.937110,-47.565497 -43.992169,3.895372 -39.823128,55.363213 -34.869897,55.932517 164.622998,4.471006 169.652380,-46.995967 173.780015,-81.041537 -33.456019,-30.480393 -12.178077,21.106008 -8.683204,72.281971 1.228230,38.847957 -162.956187,-12.739533 -159.256629,-63.961331 -152.708310,-64.525237 12.385288,-13.314425 19.084191,38.275113 22.762951,86.407887 105.372853,21.680912 -131.492840,-29.907604 -128.004468,-80.517994 -108.062890,-47.565497 46.007831,3.895372 50.176872,55.363213 55.130103,72.840764 -141.760185
74.047769 -87.546965,54.129837 74.842521,2.648835 79.641367,-48.798365 83.906140,-79.368455 -119.666221,-28.666918 -102.153421,22.925707 -98.676146,86.109799 42.845585,37.034309 107.101061,-14.559187 110.738489,-65.745300 117.790772,-62.739192 -77.168383,-11.494436 -70.921877,40.088147 -67.173423,71.069282 129.294437,19.860886 138.511998,-31.720462 142.023978,-82.153893 166.815338,-45.762201 -43.877441,5.717543 -39.833775,57.164782 -34.628016,54.129837 164.842521,2.648835 169.641367,-48.798365 173.906140,-79.368455 -29.666221,-28.666918 -12.153421,22.925707 -8.676146,74.047769 2.453035,37.034309 -162.898939,-14.559187 -159.261511,-65.745300 -152.209228,-62.739192 12.831617,-11.494436 19.078123,40.088147 22.826577,86.109799 132.845585,19.860886 -131.488002,-31.720462 -127.976022,-82.153893 -103.184662,-45.762201 46.122559,5.717543 50.166225,57.164782 55.371984,71.069282 -140.705563
75.802804 -85.997158,52.325648 75.033356,0.826709 79.630014,-50.599395 84.050903,-77.659738 -116.939581,-26.852574 -102.133819,24.744887 -98.665509,85.112776 62.639571,35.219800 107.149836,-16.378310 110.735584,-67.525775 118.382288,-60.950466 -76.787182,-9.673998 -70.929454,41.900244 -67.099514,69.291190 130.153722,18.040421 138.513901,-33.532385 142.058501,-83.700342 174.213337,-43.957641 -43.777666,7.539669 -39.843690,58.964588 -34.348638,52.325648 165.033356,0.826709 169.630014,-50.599395 174.050903,-77.659738 -26.939581,-26.852574 -12.133819,24.744887 -8.665509,75.802804 4.002842,35.219800 -162.850164,-16.378310 -159.264416,-67.525775 -151.617712,-60.950466 13.212818,-9.673998 19.070546,41.900244 22.900486,85.112776 152.639571,18.040421 -131.486099,-33.532385 -127.941499,-83.700342 -95.786663,-43.957641 46.222334,7.539669 50.156310,58.964588 55.651362,69.291190 -139.846278
77.542705 -83.988337,50.520067 75.199485,-0.995319 79.618550,-52.398981 84.217047,-75.928219 -114.900886,-25.037401 -102.118745,26.563505 -98.650862,83.742369 74.757826,33.404475 107.191038,-18.196854 110.734953,-69.302036 119.089908,-59.159390 -76.459793,-7.853161 -70.938278,43.711354 -67.014028,67.507931 130.863549,16.219566 138.513215,-35.343336 142.099805,-85.072627 -173.902280,-42.151868 -43.691085,9.361698 -39.852631,60.762430 -34.024811,50.520067 165.199485,-0.995319 169.618550,-52.398981 174.217047,-75.928219 -24.900886,-25.037401 -12.118745,26.563505 -8.650862,77.542705 6.011663,33.404475 -162.808962,-18.196854 -159.265047,-69.302036 -150.910092,-59.159390 13.540207,-7.853161 19.061722,43.711354 22.985972,83.742369 164.757826,16.219566 -131.486785,-35.343336 -127.900195,-85.072627 -83.902280,-42.151868 46.308915,9.361698 50.147369,60.762430 55.975189,67.507931 -139.136451
79.260297 -81.304701,48.713189 75.344203,-2.817195 79.607203,-54.197035 84.407854,-74.181238 -113.329464,-23.221440 -102.107724,28.381513 -98.631731,82.192696 82.275971,31.588378 107.225462,-20.014774 110.736917,-71.073082 119.945998,-57.366218 -76.177350,-6.031976 -70.948101,45.521426 -66.915472,65.720523 131.456599,14.398369 138.510259,-37.153275 142.148684,-86.083401 -154.500437,-40.344931 -43.616189,11.183577 -39.860351,62.558049 -33.647785,48.713189 165.344203,-2.817195 169.607203,-54.197035 174.407854,-74.181238 -23.329464,-23.221440 -12.107724,28.381513 -8.631731,79.260297 8.695299,31.588378 -162.774538,-20.014774 -159.263083,-71.073082 -150.054002,-57.366218 13.822650,-6.031976 19.051899,45.521426 23.084528,82.192696 172.275971,14.398369 -131.489741,-37.153275 -127.851316,-86.083401 -64.500437,-40.344931 46.383811,11.183577 50.139649,62.558049 56.352215,65.720523 -138.543401
80.943070 -77.579879,46.905095 75.470261,-4.638868 79.596201,-55.993449 84.627290,-72.423258 -112.088481,-21.404732 -102.100322,30.198869 -98.607595,80.551453 87.217658,29.771551 107.253814,-21.832023 110.741822,-72.837493 120.995937,-55.571148 -75.932809,-4.210495 -70.958682,47.330401 -66.802103,63.929697 131.956750,12.576880 138.505334,-38.962164 142.206036,-86.412946 -127.311316,-38.536872 -43.551672,13.005255 -39.866591,64.351114 -33.206400,46.905095 165.470261,-4.638868 169.596201,-55.993449 174.627290,-72.423258 -22.088481,-21.404732 -12.100322,30.198869 -8.607595,80.943070 12.420121,29.771551 -162.746186,-21.832023 -159.258178,-72.837493 -149.004063,-55.571148 14.067191,-4.210495 19.041318,47.330401 23.197897,80.551453 177.217658,12.576880 -131.494666,-38.962164 -127.793964,-86.412946 -37.311316,-38.536872 46.448328,13.005255 50.133409,64.351114 56.793600,63.929697 -138.043250
82.567531 -72.154826,45.095856 75.579975,-6.460284 79.585777,-57.788088 84.880190,-70.657129 -111.089124,-19.587320 -102.096141,32.015528 -98.577874,78.858925 90.652543,27.954038 107.276723,-23.648560 110.750038,-74.593189 122.305260,-53.774339 -75.720505,-2.388769 -70.969785,49.138216 -66.671879,62.135997 132.381840,10.755151 138.498722,-40.769963 142.272887,-85.893860 -101.477711,-36.727733 -43.496399,14.826679 -39.871079,66.141190 -32.686195,45.095856 165.579975,-6.460284 169.585777,-57.788088 174.880190,-70.657129 -21.089124,-19.587320 -12.096141,32.015528 -8.577874,82.567531 17.845174,27.954038 -162.723277,-23.648560 -159.249962,-74.593189 -147.694740,-53.774339 14.279495,-2.388769 19.030215,49.138216 23.328121,78.858925 -179.347457,10.755151 -131.501278,-40.769963 -127.727113,-85.893860 -11.477711,-36.727733 46.503601,14.826679 50.128921,66.141190 57.313805,62.135997 -137.618160
84.085636 -63.783659,43.285535 75.675311,-8.281392 79.576167,-59.580786 85.172510,-68.884747 -110.271458,-17.769250 -102.094817,33.831448 -98.541923,77.135219 93.151708,26.135882 107.294754,-25.464339 110.761972,-76.337015 123.971915,-51.975915 -75.535826,-0.566852 -70.981180,50.944797 -66.522392,60.339829 132.745453,8.933232 138.490692,-42.576630 142.350406,-84.773103 -84.107794,-34.917552 -43.449378,16.647801 -39.873529,67.927697 -32.068102,43.285535 165.675311,-8.281392 169.576167,-59.580786 175.172510,-68.884747 -20.271458,-17.769250 -12.094817,33.831448 -8.541923,84.085636 26.216341,26.135882 -162.705246,-25.464339 -159.238028,-76.337015 -146.028085,-51.975915 14.464174,-0.566852 19.018820,50.944797 23.477608,77.135219 -176.848292,8.933232 -131.509308,-42.576630 -127.649594,-84.773103 5.892206,-34.917552 46.550622,16.647801 50.126471,67.927697 57.931898,60.339829 -137.254547
85.391259 -50.149330,41.474188 75.757948,-10.102140 79.567614,-61.371335 85.511677,-67.107418 -109.593674,-15.950565 -102.096011,35.646585 -98.499015,75.391246 95.036995,24.317128 107.308418,-27.279321 110.778066,-78.063978 126.148342,-50.175982 -75.374984,1.255204 -70.992639,52.750060 -66.350772,58.541505 133.058116,7.111175 138.481500,-44.382122 142.439945,-83.348064 -73.523010,-33.106370 -43.409737,18.468569 -39.873636,69.709845 -31.326468,41.474188 165.757948,-10.102140 169.567614,-61.371335 175.511677,-67.107418 -19.593674,-15.950565 -12.096011,35.646585 -8.499015,85.391259 39.850670,24.317128 -162.691582,-27.279321 -159.221934,-78.063978 -143.851658,-50.175982 14.625016,1.255204 19.007361,52.750060 23.649228,75.391246 -174.963005,7.111175 -131.518500,-44.382122 -127.560055,-83.348064 16.476990,-33.106370 46.590263,18.468569 50.126364,69.709845 58.673532,58.541505 -136.941884
86.255306 -28.235038,39.661867 75.829329,-11.922477 79.560368,-63.159463 85.907069,-65.326064 -109.025767,-14.131314 -102.099407,37.460895 -98.448333,73.633358 96.500470,22.497821 107.318176,-29.093464 110.798807,-79.765758 129.083306,-48.374624 -75.234833,3.077345 -71.003933,54.553905 -66.153577,56.741267 133.328106,5.289034 138.471391,-46.186389 142.543068,-81.775307 -66.851180,-31.294223 -43.376703,20.288935 -39.871074,71.486533 -30.425985,39.661867 165.829329,-11.922477 169.560368,-63.159463 175.907069,-65.326064 -19.025767,-14.131314 -12.099407,37.460895 -8.448333,86.255306 61.764962,22.497821 -162.681824,-29.093464 -159.201193,-79.765758 -140.916694,-48.374624 14.765167,3.077345 18.996067,54.553905 23.846423,73.633358 -173.499530,5.289034 -131.528609,-46.186389 -127.456932,-81.775307 23.148820,-31.294223 46.623297,20.288935 50.128926,71.486533 59.574015,56.741267 -136.671894
86.349549 -0.094807,37.848619 75.890706,-13.742353 79.554693,-64.944820 86.370697,-63.541356 -108.545672,-12.311542 -102.104711,39.274335 -98.388949,71.865478 97.662769,20.678008 107.324450,-30.906729 110.824734,-81.427568 133.205457,-46.571914 -75.112741,4.899518 -71.014832,56.356211 -65.926641,54.939308 133.562025,3.466860 138.460606,-47.989380 142.661600,-80.125040 -62.390837,-29.481151 -43.349592,22.108851 -39.865494,73.256186 -29.316753,37.848619 165.890706,-13.742353 169.554693,-64.944820 176.370697,-63.541356 -18.545672,-12.311542 -12.104711,39.274335 -8.388949,86.349549 89.905193,20.678008 -162.675550,-30.906729 -159.175266,-81.427568 -136.794543,-46.571914 14.887259,4.899518 18.985168,56.356211 24.073359,71.865478 -172.337231,3.466860 -131.539394,-47.989380 -127.338400,-80.125040 27.609163,-29.481151 46.650408,22.108851 50.134506,73.256186 60.683247,54.939308 -136.437975
85.623975 23.692743,36.034491 75.943166,-15.561720 79.550864,-66.726940 86.918195,-61.753787 -108.136808,-10.491299 -102.111644,41.086858 -98.319805,70.090142 98.603060,18.857734 107.327626,-32.719077 110.856447,-83.021029 139.296952,-44.767915 -75.006488,6.721671 -71.025105,58.156831 -65.664867,53.135781 133.765199,1.644707 138.449377,-49.791032 142.797684,-78.430249 -59.246633,-27.667192 -43.327789,23.928270 -39.856515,75.016480 -27.926054,36.034491 165.943166,-15.561720 169.550864,-66.726940 176.918195,-61.753787 -18.136808,-10.491299 -12.111644,41.086858 -8.319805,85.623975 113.692743,18.857734 -162.672374,-32.719077 -159.143553,-83.021029 -130.703048,-44.767915 14.993512,6.721671 18.974895,58.156831 24.335133,70.090142 -171.396940,1.644707 -131.550623,-49.791032 -127.202316,-78.430249 30.753367,-27.667192 46.672211,23.928270 50.143485,75.016480 62.073946,53.135781 -136.234801
84.387989 38.870041,34.219527 75.987664,-17.380530 79.549174,-68.505197 87.570286,-59.963731 -107.786487,-8.670635 -102.119939,42.898418 -98.239688,68.309056 99.375279,17.037048 107.328061,-34.530469 110.894614,-84.486793 148.843145,-42.962680 -74.914185,8.543750 -71.034514,59.955583 -65.361958,51.330812 133.941975,-0.177371 138.437934,-51.591277 142.953859,-76.707814 -56.933408,-25.852387 -43.310744,25.747146 -39.843724,76.763856 -26.144018,34.219527 165.987664,-17.380530 169.549174,-68.505197 177.570286,-59.963731 -17.786487,-8.670635 -12.119939,42.898418 -8.239688,84.387989 128.870041,17.037048 -162.671939,-34.530469 -159.105386,-84.486793 -121.156855,-42.962680 15.085815,8.543750 18.965486,59.955583 24.638042,68.309056 -170.624721,-0.177371 -131.562066,-51.591277 -127.046141,-76.707814 33.066592,-25.852387 46.689256,25.747146 50.156276,76.763856 63.855982,51.330812 -136.058025
82.903373 48.126160,32.403771 76.025038,-19.198735 79.549932,-70.278730 88.355014,-58.171472 -107.484835,-6.849600 -102.129344,44.708963 -98.147200,66.523405 100.017353,15.215998 107.326086,-36.340866 110.939988,-85.692689 164.487516,-41.156261 -74.834216,10.365703 -71.042814,61.752236 -65.010033,49.524505 134.095935,-1.999322 138.426507,-53.390031 143.133148,-74.967090 -55.173045,-24.036774 -43.297960,27.565433 -39.826667,78.492610 -23.797458,32.403771 166.025038,-19.198735 169.549932,-70.278730 178.355014,-58.171472 -17.484835,-6.849600 -12.129344,44.708963 -8.147200,82.903373 138.126160,15.215998 -162.673914,-36.340866 -159.060012,-85.692689 -105.512484,-41.156261 15.165784,10.365703 18.957186,61.752236 24.989967,66.523405 -169.982647,-1.999322 -131.573493,-53.390031 -126.866852,-74.967090 34.826955,-24.036774 46.702040,27.565433 50.173333,78.492610 66.202542,49.524505 -135.904065
81.296345 54.048067,30.587266 76.056034,-21.016291 79.553472,-72.046331 89.311236,-56.377233 -107.224053,-5.028246 -102.139614,46.518438 -98.040713,64.734037 100.556692,13.394634 107.322009,-38.150232 110.993418,-86.369956 -171.283091,-39.348700 -74.765189,12.187477 -71.049751,63.546494 -64.599108,47.716948 134.230060,-3.821093 138.415322,-55.187196 143.339190,-73.213619 -53.796995,-22.220396 -43.288984,29.383087 -39.804846,80.193075 -20.599497,30.587266 166.056034,-21.016291 169.553472,-72.046331 179.311236,-56.377233 -17.224053,-5.028246 -12.139614,46.518438 -8.040713,81.296345 144.048067,13.394634 -162.677991,-38.150232 -159.006582,-86.369956 -81.283091,-39.348700 15.234811,12.187477 18.950249,63.546494 25.400892,64.734037 -169.443308,-3.821093 -131.584678,-55.187196 -126.660810,-73.213619 36.203005,-22.220396 46.711016,29.383087 50.195154,80.193075 69.400503,47.716948 -135.769940
79.623517 58.066873,28.770056 76.081313,-22.833153 79.560154,-73.806253 90.494304,-54.581187 -106.997904,-3.206623 -102.150512,48.326782 -97.918331,62.941570 101.013577,11.573006 107.316121,-39.958525 111.055869,-86.222731 -143.364637,-37.540041 -74.705897,14.009022 -71.055060,65.337974 -64.116334,45.908215 134.346849,-5.642631 138.404610,-56.982650 143.576404,-71.450867 -52.697985,-20.403295 -43.283404,31.200064 -39.777708,81.847722 -16.047421,28.770056 166.081313,-22.833153 169.560154,-73.806253 -179.505696,-54.581187 -16.997904,-3.206623 -12.150512,48.326782 -7.918331,79.623517 148.066873,11.573006 -162.683879,-39.958525 -158.944131,-86.222731 -53.364637,-37.540041 15.294103,14.009022 18.944940,65.337974 25.883666,62.941570 -168.986423,-5.642631 -131.595390,-56.982650 -126.423596,-71.450867 37.302015,-20.403295 46.716596,31.200064 50.222292,81.847722 73.952579,45.908215 -135.653151
77.912060 60.935206,26.952183 76.101468,-24.649278 79.570366,-75.555892 91.985619,-52.783474 -106.801337,-1.384786 -102.161804,50.133927 -97.777817,61.146466 101.403327,9.751166 107.308695,-41.765706 111.128443,-85.328312 -122.052580,-35.730323 -74.655286,15.830285 -71.058461,67.126167 -63.544910,44.098373 134.448416,-7.463884 138.394605,-58.776242 143.850205,-69.681102 -51.804823,-18.585515 -43.280841,33.016321 -39.744639,83.422086 -9.209146,26.952183 166.101468,-24.649278 169.570366,-75.555892 -178.014381,-52.783474 -16.801337,-1.384786 -12.161804,50.133927 -7.777817,77.912060 150.935206,9.751166 -162.691305,-41.765706 -158.871557,-85.328312 -32.052580,-35.730323 15.344714,15.830285 18.941539,67.126167 26.455090,61.146466 -168.596673,-7.463884 -131.605395,-58.776242 -126.149795,-69.681102 38.195177,-18.585515 46.719159,33.016321 50.255361,83.422086 80.790854,44.098373 -135.551584
76.176195 63.066394,25.133692 76.117033,-26.464623 79.584535,-77.291208 93.909490,-50.984207 -106.630218,0.437214 -102.173262,51.939793 -97.616521,59.349076 101.737720,7.929164 107.299993,-43.571731 111.212406,-84.012619 -108.831631,-33.919585 -74.612433,17.651218 -71.059658,68.910387 -62.862440,42.287480 134.536562,-9.284799 138.385546,-60.567786 144.167311,-67.905860 -51.068547,-16.767100 -43.280945,34.831815 -39.704949,84.842317 1.690205,25.133692 166.117033,-26.464623 169.584535,-77.291208 -176.090510,-50.984207 -16.630218,0.437214 -12.173262,51.939793 -7.616521,76.176195 153.066394,7.929164 -162.700007,-43.571731 -158.787594,-84.012619 -18.831631,-33.919585 15.387567,17.651218 18.940342,68.910387 27.137560,59.349076 -168.262280,-9.284799 -131.614454,-60.567786 -125.832689,-67.905860 38.931453,-16.767100 46.719055,34.831815 50.295051,84.842317 91.690205,42.287480 -135.463438
