-0.121097 -95.055183,39.989112 -92.038857,79.421930 -75.469562,59.900058 78.755107,19.960339 83.650109,-20.187454 86.270801,-60.019052 91.179640,-79.460942 -114.703090,-40.173201 -98.076082,13.269173 -64.202055,53.281501 -60.234965,85.118616 67.836185,46.643028 111.152421,6.574505 114.539162,-33.523770 117.328369,-73.092472 126.832990,-66.583138 -73.355553,-26.861205 -66.863853,26.645556 -33.248300,66.489447 -26.777126,73.025457 133.122415,33.322540 142.594531,-6.815005 145.380887,-46.807508 148.774357,-85.128009 -167.810957,-53.424185 -39.885445,-13.504619 -35.908727,39.989112 -2.038857,79.421930 14.530438,59.900058 168.755107,19.960339 173.650109,-20.187454 176.270801,-60.019052 -178.820360,-79.460942 -24.703090,-40.173201 -8.076082,-0.121097 -5.055183,53.281501 29.765035,85.118616 157.836185,46.643028 -158.847579,6.574505 -155.460838,-33.523770 -152.671631,-73.092472 -143.167010,-66.583138 16.644447,-26.861205 23.136147,13.269173 25.797945,66.489447 63.222874,73.025457 -136.877585,33.322540 -127.405469,-6.815005 -124.619113,-46.807508 -121.225643,-85.128009 -77.810957,-53.424185 50.114555,-13.504619 54.091273,26.645556 56.751700
84.085636 -63.783659,54.669519 73.989523,14.670918 78.115580,-25.464339 80.761972,-65.211721 86.842105,-74.443448 -113.936175,-34.917552 -103.449378,5.172194 -100.621162,45.250629 -97.326371,80.717942 86.541396,41.383810 105.893515,1.281151 108.974109,-38.781753 111.936404,-78.149551 126.405881,-61.396816 -77.535581,-21.586003 -72.364411,18.559380 -69.741823,58.515882 -65.080935,67.864094 130.205137,28.044713 137.143949,-12.104053 139.823229,-52.040039 143.655037,-85.937001 -102.708142,-48.194841 -44.958379,-8.216492 -41.463435,31.924928 -38.711250,71.663425 -30.062180,54.669519 163.989523,14.670918 168.115580,-25.464339 170.761972,-65.211721 176.842105,-74.443448 -23.936175,-34.917552 -13.449378,5.172194 -10.621162,45.250629 -7.326371,84.085636 26.216341,41.383810 -164.106485,1.281151 -161.025891,-38.781753 -158.063596,-78.149551 -143.594119,-61.396816 12.464419,-21.586003 17.635589,18.559380 20.258177,58.515882 24.919065,80.717942 176.541396,28.044713 -132.856051,-12.104053 -130.176771,-52.040039 -126.344963,-85.937001 -12.708142,-48.194841 45.041621,-8.216492 48.536565,31.924928 51.288750,71.663425 59.937820,67.864094 -139.794863
85.391259 -50.149330,52.865769 74.188491,12.849470 78.110932,-27.279321 80.778066,-66.993308 87.403787,-72.686903 -112.652294,-33.106370 -103.409737,6.994339 -100.631320,47.059772 -97.215340,79.029412 90.095292,39.571441 105.964369,-0.540907 108.962651,-40.589663 112.002257,-79.849761 129.387885,-59.606300 -77.195684,-19.768660 -72.359926,20.379725 -69.739119,60.314235 -64.768934,66.077447 130.819347,26.226588 137.162211,-13.923881 139.817726,-53.838407 143.840630,-84.838078 -84.917228,-46.392000 -44.837961,-6.395372 -41.473078,33.740886 -38.675626,73.432264 -28.928607,52.865769 164.188491,12.849470 168.110932,-27.279321 170.778066,-66.993308 177.403787,-72.686903 -22.652294,-33.106370 -13.409737,6.994339 -10.631320,47.059772 -7.215340,85.391259 39.850670,39.571441 -164.035631,-0.540907 -161.037349,-40.589663 -157.997743,-79.849761 -140.612115,-59.606300 12.804316,-19.768660 17.640074,20.379725 20.260881,60.314235 25.231066,79.029412 -179.904708,26.226588 -132.837789,-13.923881 -130.182274,-53.838407 -126.159370,-84.838078 5.082772,-46.392000 45.162039,-6.395372 48.526922,33.740886 51.324374,73.432264 61.071393,66.077447 -139.180653
86.255306 -28.235038,51.060593 74.361641,11.027774 78.104555,-29.093464 80.798807,-68.770920 88.073726,-70.921854 -111.621147,-31.294223 -103.376703,8.816403 -100.640579,48.867765 -97.087782,77.308224 92.670469,37.758149 106.025277,-2.362826 108.951253,-42.396445 112.078654,-81.508995 133.585694,-57.813630 -76.902753,-17.950653 -72.358333,22.199618 -69.733379,62.110436 -64.406114,64.287255 131.336446,24.407863 137.176081,-15.743194 139.814097,-55.635157 144.053999,-83.423482 -74.071067,-44.587875 -44.733179,-4.573946 -41.483527,35.556063 -38.633083,75.191455 -27.504586,51.060593 164.361641,11.027774 168.104555,-29.093464 170.798807,-68.770920 178.073726,-70.921854 -21.621147,-31.294223 -13.376703,8.816403 -10.640579,48.867765 -7.087782,86.255306 61.764962,37.758149 -163.974723,-2.362826 -161.048747,-42.396445 -157.921346,-81.508995 -136.414306,-57.813630 13.097247,-17.950653 17.641667,22.199618 20.266621,62.110436 25.593886,77.308224 -177.329531,24.407863 -132.823919,-15.743194 -130.185903,-55.635157 -125.946001,-83.423482 15.928933,-44.587875 45.266821,-4.573946 48.516473,35.556063 51.366917,75.191455 62.495414,64.287255 -138.663554
86.349549 -0.094807,49.254094 74.512456,9.205880 78.096720,-30.906729 80.824734,-70.543653 88.881320,-69.150314 -110.779307,-29.481151 -103.349592,10.638332 -100.648692,50.674536 -96.941348,75.565934 94.606825,35.943978 106.077318,-4.184555 108.940144,-44.202056 112.166928,-83.097871 139.806386,-56.019017 -76.649337,-16.132028 -72.359290,24.019011 -69.724220,63.904174 -63.981987,62.494093 131.775312,22.588583 137.186024,-17.561946 139.812636,-57.430162 144.299786,-81.855975 -67.253331,-42.782520 -44.642175,-2.752265 -41.494544,37.370416 -38.582810,76.937277 -25.675375,49.254094 164.512456,9.205880 168.096720,-30.906729 170.824734,-70.543653 178.881320,-69.150314 -20.779307,-29.481151 -13.349592,10.638332 -10.648692,50.674536 -6.941348,86.349549 89.905193,35.943978 -163.922682,-4.184555 -161.059856,-44.202056 -157.833072,-83.097871 -130.193614,-56.019017 13.350663,-16.132028 17.640710,24.019011 20.275780,63.904174 26.018013,75.565934 -175.393175,22.588583 -132.813976,-17.561946 -130.187364,-57.430162 -125.700214,-81.855975 22.746669,-42.782520 45.357825,-2.752265 48.505456,37.370416 51.417190,76.937277 64.324625,62.494093 -138.224688
85.623975 23.692743,47.446356 74.643838,7.383840 78.087686,-32.719077 80.856447,-72.310232 89.867464,-67.373659 -110.082735,-27.667192 -103.327789,12.460075 -100.655402,52.480002 -96.773243,73.809229 96.106084,34.128974 106.121441,-6.006040 108.929554,-46.006448 112.268618,-84.554683 149.583509,-54.222628 -76.429461,-14.312830 -72.362481,25.837858 -69.711227,65.695044 -63.483018,60.698389 132.150267,20.768793 137.192462,-19.380089 139.813657,-59.223263 144.583700,-80.208600 -62.708587,-40.975985 -44.563357,-0.930382 -41.505899,39.183900 -38.523884,78.663731 -23.259273,47.446356 164.643838,7.383840 168.087686,-32.719077 170.856447,-72.310232 179.867464,-67.373659 -20.082735,-27.667192 -13.327789,12.460075 -10.655402,52.480002 -6.773243,85.623975 113.692743,34.128974 -163.878559,-6.006040 -161.070446,-46.006448 -157.731382,-84.554683 -120.416491,-54.222628 13.570539,-14.312830 17.637519,25.837858 20.288773,65.695044 26.516982,73.809229 -173.893916,20.768793 -132.807538,-19.380089 -130.186343,-59.223263 -125.416300,-80.208600 27.291413,-40.975985 45.436643,-0.930382 48.494101,39.183900 51.476116,78.663731 66.740727,60.698389 -137.849733
84.387989 38.870041,45.637453 74.758223,5.561708 78.077699,-34.530469 80.894614,-74.068808 91.090671,-65.592860 -109.499951,-25.852387 -103.310744,14.281581 -100.660443,54.284066 -96.580121,72.042215 97.294349,32.313179 106.158481,-7.827229 108.919719,-47.809568 112.385522,-85.741884 165.618240,-52.424597 -76.238276,-12.493108 -72.367607,27.656115 -69.693944,67.482506 -62.891441,58.900474 132.472372,18.948541 137.195784,-21.197577 139.817494,-61.014260 144.912842,-78.515543 -59.512566,-39.168313 -44.495353,0.891650 -41.517363,40.996470 -38.455254,80.360595 -19.953682,45.637453 164.758223,5.561708 168.077699,-34.530469 170.894614,-74.068808 -178.909329,-65.592860 -19.499951,-25.852387 -13.310744,14.281581 -10.660443,54.284066 -6.580121,84.387989 128.870041,32.313179 -163.841519,-7.827229 -161.080281,-47.809568 -157.614478,-85.741884 -104.381760,-52.424597 13.761724,-12.493108 17.632393,27.656115 20.306056,67.482506 27.108559,72.042215 -172.705651,18.948541 -132.804216,-21.197577 -130.182506,-61.014260 -125.087158,-78.515543 30.487434,-39.168313 45.504647,0.891650 48.482637,40.996470 51.544746,80.360595 70.046318,58.900474 -137.527628
82.903373 48.126160,43.827450 74.857674,3.739536 78.067000,-36.340866 80.939988,-75.816606 92.637448,-63.808618 -109.007882,-24.036774 -103.297960,16.102798 -100.663534,56.086611 -96.357934,70.267535 98.254039,30.496638 106.189177,-9.648072 108.910878,-49.611357 112.519749,-86.383594 -169.753872,-50.625031 -76.071805,-10.672910 -72.374389,29.473736 -69.671872,69.265829 -62.183481,57.100601 132.750303,17.127874 137.196348,-23.014368 139.824510,-62.802897 145.296153,-76.794222 -57.165689,-37.359546 -44.436971,2.713779 -41.528708,42.808079 -38.375717,82.009187 -15.225240,43.827450 164.857674,3.739536 168.067000,-36.340866 170.939988,-75.816606 -177.362552,-63.808618 -19.007882,-24.036774 -13.297960,16.102798 -10.663534,56.086611 -6.357934,82.903373 138.126160,30.496638 -163.810823,-9.648072 -161.089122,-49.611357 -157.480251,-86.383594 -79.753872,-50.625031 13.928195,-10.672910 17.625611,29.473736 20.328128,69.265829 27.816519,70.267535 -171.745961,17.127874 -132.803652,-23.014368 -130.175490,-62.802897 -124.703847,-76.794222 32.834311,-37.359546 45.563029,2.713779 48.471292,42.808079 51.624283,82.009187 74.774760,57.100601 -137.249697
81.296345 54.048067,42.016405 74.943950,1.917377 78.055823,-38.150232 80.993418,-77.549296 94.640713,-62.021451 -108.589247,-22.220396 -103.288984,17.923677 -100.664375,57.887494 -96.101742,68.486962 99.041110,28.679394 106.214186,-11.468516 108.903282,-51.411746 112.673792,-86.193233 -141.957441,-48.824021 -75.926758,-8.852286 -72.382560,31.290679 -69.644453,71.044004 -61.326609,55.298972 132.990958,15.306842 137.194486,-24.830416 139.835097,-64.588839 145.745051,-75.054257 -55.382403,-35.549725 -44.387174,4.535950 -41.539705,44.618676 -38.283881,83.572459 -8.080173,42.016405 164.943950,1.917377 168.055823,-38.150232 170.993418,-77.549296 -175.359287,-62.021451 -18.589247,-22.220396 -13.288984,17.923677 -10.664375,57.887494 -6.101742,81.296345 144.048067,28.679394 -163.785814,-11.468516 -161.096718,-51.411746 -157.326208,-86.193233 -51.957441,-48.824021 14.073242,-8.852286 17.617440,31.290679 20.355547,71.044004 28.673391,68.486962 -170.958890,15.306842 -132.805514,-24.830416 -130.164903,-64.588839 -124.254949,-75.054257 34.617597,-35.549725 45.612826,4.535950 48.460295,44.618676 51.716119,83.572459 81.919827,55.298972 -137.009042
79.623517 58.066873,40.204370 75.018561,0.095284 78.044398,-39.958525 81.055869,-79.259782 97.314157,-60.231747 -108.230853,-20.403295 -103.283404,19.744168 -100.662648,59.686539 -95.805445,66.701724 99.694796,26.861489 106.234100,-13.288511 108.897190,-53.210653 112.850623,-85.270207 -121.092371,-47.021643 -75.800385,-7.031286 -72.391866,33.106899 -69.611070,72.815594 -60.275174,53.495748 133.199891,13.485492 137.190507,-26.645681 139.849686,-66.371649 146.274348,-73.301326 -53.990106,-33.738888 -44.345048,6.358111 -41.550122,46.428205 -38.178136,84.970414 3.369813,40.204370 165.018561,0.095284 168.044398,-39.958525 171.055869,-79.259782 -172.685843,-60.231747 -18.230853,-20.403295 -13.283404,19.744168 -10.662648,59.686539 -5.805445,79.623517 148.066873,26.861489 -163.765900,-13.288511 -161.102810,-53.210653 -157.149377,-85.270207 -31.092371,-47.021643 14.199615,-7.031286 17.608134,33.106899 20.388930,72.815594 29.724826,66.701724 -170.305204,13.485492 -132.809493,-26.645681 -130.150314,-66.371649 -123.725652,-73.301326 36.009894,-33.738888 45.654952,6.358111 48.449878,46.428205 51.821864,84.970414 93.369813,53.495748 -136.800109
77.912060 60.935206,38.391394 75.082811,-1.726690 78.032953,-41.765706 81.128443,-80.935707 101.019820,-58.439803 -107.922458,-18.585515 -103.280841,21.564224 -100.658010,61.483523 -95.461432,64.912696 100.243376,25.042969 106.249449,-15.108010 108.892875,-55.007981 113.053813,-83.940493 -108.197016,-45.217960 -75.690370,-5.209961 -72.402060,34.922353 -69.571031,74.578496 -58.963183,51.691058 133.381626,11.663876 137.184702,-28.460122 139.868746,-68.150737 146.903605,-71.538976 -52.879194,-31.927073 -44.309790,8.180209 -41.559722,48.236607 -38.056596,86.024827 22.150210,38.391394 165.082811,-1.726690 168.032953,-41.765706 171.128443,-80.935707 -168.980180,-58.439803 -17.922458,-18.585515 -13.280841,21.564224 -10.658010,61.483523 -5.461432,77.912060 150.935206,25.042969 -163.750551,-15.108010 -161.107125,-55.007981 -156.946187,-83.940493 -18.197016,-45.217960 14.309630,-5.209961 17.597940,34.922353 20.428969,74.578496 31.036817,64.912696 -169.756624,11.663876 -132.815298,-28.460122 -130.131254,-68.150737 -123.096395,-71.538976 37.120806,-31.927073 45.690210,8.180209 48.440278,48.236607 51.943404,86.024827 112.150210,51.691058 -136.618374
76.176195 63.066394,36.577525 75.137834,-3.548491 78.021717,-43.571731 81.212406,-82.553927 106.407302,-56.645848 -107.655990,-16.767100 -103.280945,23.383797 -100.650090,63.278161 -95.060073,63.120515 100.707730,23.223877 106.260713,-16.926963 108.890623,-56.803612 113.287692,-82.414947 -100.230992,-43.413029 -75.594748,-3.388363 -72.412905,36.736999 -69.523556,76.329523 -57.291880,49.885010 133.539883,9.842045 137.177347,-30.273698 139.892798,-69.925296 147.659175,-69.769520 -51.977070,-30.114320 -44.280684,10.002192 -41.568263,50.043814 -37.917046,86.418348 49.070624,36.577525 165.137834,-3.548491 168.021717,-43.571731 171.212406,-82.553927 -163.592698,-56.645848 -17.655990,-16.767100 -13.280945,23.383797 -10.650090,63.278161 -5.060073,76.176195 153.066394,23.223877 -163.739287,-16.926963 -161.109377,-56.803612 -156.712308,-82.414947 -10.230992,-43.413029 14.405252,-3.388363 17.587095,36.736999 20.476444,76.329523 32.708120,63.120515 -169.292270,9.842045 -132.822653,-30.273698 -130.107202,-69.925296 -122.340825,-69.769520 38.022930,-30.114320 45.719316,10.002192 48.431737,50.043814 52.082954,86.418348 139.070624,49.885010 -136.460117
74.423956 64.700962,34.762806 75.184622,-5.370067 78.010920,-45.376554 81.309222,-84.067271 114.701201,-54.850062 -107.425006,-14.948097 -103.283390,25.202840 -100.638485,65.070086 -94.589009,61.325657 101.103599,21.404260 106.268329,-18.745324 108.890740,-58.597398 113.557566,-80.790258 -95.029202,-41.606900 -75.511841,-1.566544 -72.424169,38.550791 -69.467763,78.063627 -55.107331,48.077696 133.677752,8.020051 137.168703,-32.086370 139.922418,-71.694199 148.577393,-67.994523 -51.233886,-28.300667 -44.257093,11.824006 -41.575493,51.849746 -37.756857,85.953375 75.476576,34.762806 165.184622,-5.370067 168.010920,-45.376554 171.309222,-84.067271 -155.298799,-54.850062 -17.425006,-14.948097 -13.283390,25.202840 -10.638485,65.070086 -4.589009,74.423956 154.700962,21.404260 -163.731671,-18.745324 -161.109260,-58.597398 -156.442434,-80.790258 -5.029202,-41.606900 14.488159,-1.566544 17.575831,38.550791 20.532237,78.063627 34.892669,61.325657 -168.896401,8.020051 -132.831297,-32.086370 -130.077582,-71.694199 -121.422607,-67.994523 38.766114,-28.300667 45.742907,11.824006 48.424507,51.849746 52.243143,85.953375 165.476576,48.077696 -136.322248
72.660183 65.986684,32.947283 75.224046,-7.191366 78.000794,-47.180125 81.420592,-85.371922 128.175998,-53.052591 -107.224294,-13.128553 -103.287873,27.021308 -100.622755,66.858809 -94.032116,59.528482 101.443065,19.584164 106.272697,-20.563046 108.893554,-60.389156 113.870005,-79.110584 -91.434708,-39.799620 -75.440205,0.255442 -72.435621,40.363686 -69.402650,79.772383 -52.157862,46.269192 133.797820,6.197945 137.159021,-33.898100 139.958250,-73.455828 149.709712,-66.215080 -50.614355,-26.486152 -44.238446,13.645600 -41.581148,53.654312 -37.572890,84.857712 93.491426,32.947283 165.224046,-7.191366 168.000794,-47.180125 171.420592,-85.371922 -141.824002,-53.052591 -17.224294,-13.128553 -13.287873,27.021308 -10.622755,66.858809 -4.032116,72.660183 155.986684,19.584164 -163.727303,-20.563046 -161.106446,-60.389156 -156.129995,-79.110584 -1.434708,-39.799620 14.559795,0.255442 17.564379,40.363686 20.597350,79.772383 37.842138,59.528482 -168.556935,6.197945 -132.840979,-33.898100 -130.041750,-73.455828 -120.290288,-66.215080 39.385645,-26.486152 45.761554,13.645600 48.418852,53.654312 52.427110,84.857712 -176.508574,46.269192 -136.202180
70.887942 67.018734,31.130998 75.256878,-9.012335 77.991578,-48.982386 81.548508,-86.243931 149.827936,-51.253550 -107.049600,-11.308516 -103.294108,28.839156 -100.602415,68.643676 -93.367970,57.729268 101.735556,17.763637 106.274185,-22.380085 108.899417,-62.178650 114.233247,-77.397753 -88.831849,-37.991231 -75.378589,2.077543 -72.447033,42.175636 -69.327069,81.440788 -48.008790,44.459566 133.902272,4.375781 137.148544,-35.708849 140.001017,-75.207784 151.131295,-64.431973 -50.092828,-24.670816 -44.224227,15.466924 -41.584953,55.457402 -37.361363,83.440045 104.454622,31.130998 165.256878,-9.012335 167.991578,-48.982386 171.548508,-86.243931 -120.172064,-51.253550 -17.049600,-11.308516 -13.294108,28.839156 -10.602415,68.643676 -3.367970,70.887942 157.018734,17.763637 -163.725815,-22.380085 -161.100583,-62.178650 -155.766753,-77.397753 1.168151,-37.991231 14.621411,2.077543 17.552967,42.175636 20.672931,81.440788 41.991210,57.729268 -168.264444,4.375781 -132.851456,-35.708849 -129.998983,-75.207784 -118.868705,-64.431973 39.907172,-24.670816 45.775773,15.466924 48.415047,55.457402 52.638637,83.440045 -165.545378,44.459566 -136.097728
69.109265 67.860917,29.313994 75.283803,-10.832924 77.983519,-50.783272 81.695321,-86.358112 177.818741,-49.453035 -106.897410,-9.488035 -103.301824,30.656341 -100.576930,70.423787 -92.567493,55.928232 101.988534,15.942726 106.273134,-24.196398 108.908710,-63.965577 114.657758,-75.663502 -86.875763,-36.181773 -75.325904,3.899705 -72.458178,43.986592 -69.239699,83.039959 -41.864732,42.648878 133.992965,2.553611 137.137507,-37.518579 140.051530,-76.946379 152.956004,-62.645778 -49.650232,-22.854701 -44.213970,17.287926 -41.586615,57.258883 -37.117671,81.866963 111.328455,29.313994 165.283803,-10.832924 167.983519,-50.783272 171.695321,-86.358112 -92.181259,-49.453035 -16.897410,-9.488035 -13.301824,30.656341 -10.576930,70.423787 -2.567493,69.109265 157.860917,15.942726 -163.726866,-24.196398 -161.091290,-63.965577 -155.342242,-75.663502 3.124237,-36.181773 14.674096,3.899705 17.541822,43.986592 20.760301,83.039959 48.135268,55.928232 -168.011466,2.553611 -132.862493,-37.518579 -129.948470,-76.946379 -117.043996,-62.645778 40.349768,-22.854701 45.786030,17.287926 48.413385,57.258883 52.882329,81.866963 -158.671545,42.648878 -136.007035
67.325541 68.557495,27.496315 75.305433,-12.653082 77.976872,-52.582707 81.863823,-85.654323 -158.263499,-47.651127 -106.764800,-7.667160 -103.310761,32.472818 -100.545704,72.197874 -91.590255,54.125548 102.207983,14.121481 106.269860,-26.011941 108.921850,-65.749538 115.157037,-73.914612 -85.361906,-34.371287 -75.281196,5.721876 -72.468823,45.796501 -69.139009,84.509272 -32.211102,40.837183 134.071491,0.731489 137.126143,-39.327251 140.110714,-78.665678 155.363874,-60.856922 -49.272099,-21.037847 -44.207249,19.108559 -41.585822,59.058592 -36.836157,80.213017 115.901022,27.496315 165.305433,-12.653082 167.976872,-52.582707 171.863823,-85.654323 -68.263499,-47.651127 -16.764800,-7.667160 -13.310761,32.472818 -10.545704,72.197874 -1.590255,67.325541 158.557495,14.121481 -163.730140,-26.011941 -161.078150,-65.749538 -154.842963,-73.914612 4.638094,-34.371287 14.718804,5.721876 17.531177,45.796501 20.860991,84.509272 57.788898,54.125548 -167.792017,0.731489 -132.873857,-39.327251 -129.889286,-78.665678 -114.636126,-60.856922 40.727901,-21.037847 45.792751,19.108559 48.414178,59.058592 53.163843,80.213017 -154.098978,40.837183 -135.928509
65.537754 69.140081,25.678004 75.322319,-14.472759 77.971904,-54.380599 82.057359,-84.434633 -142.911314,-45.847892 -106.649312,-5.845943 -103.320673,34.288545 -100.508073,73.964104 -90.378445,52.321357 102.398755,12.299953 106.264660,-27.826674 108.939293,-67.530005 115.748798,-72.155239 -84.162501,-32.559809 -75.243625,7.544002 -72.478736,47.605304 -69.023218,85.713244 -16.354533,39.024530 134.139222,-1.090532 137.114679,-41.134825 140.179618,-80.355578 158.654156,-59.065731 -48.947260,-19.220299 -44.203674,20.928772 -41.582241,60.856324 -36.509783,78.512972 119.111522,25.678004 165.322319,-14.472759 167.971904,-54.380599 172.057359,-84.434633 -52.911314,-45.847892 -16.649312,-5.845943 -13.320673,34.288545 -10.508073,73.964104 -0.378445,65.537754 159.140081,12.299953 -163.735340,-27.826674 -161.060707,-67.530005 -154.251202,-72.155239 5.837499,-32.559809 14.756375,7.544002 17.521264,47.605304 20.976782,85.713244 73.645467,52.321357 -167.601245,-1.090532 -132.885321,-41.134825 -129.820382,-80.355578 -111.345844,-59.065731 41.052740,-19.220299 45.796326,20.928772 48.417759,60.856324 53.490217,78.512972 -150.888478,39.024530 -135.860778
63.746613 69.631831,23.859107 75.334958,-16.291908 77.968897,-56.176837 82.279975,-82.962256 -133.536662,-44.043391 -106.548869,-4.024434 -103.331318,36.103478 -100.463289,75.719734 -88.846638,50.515772 102.564830,10.478191 106.257816,-29.640556 108.961539,-69.306254 116.456729,-70.388054 -83.194084,-30.747379 -75.212447,9.366031 -72.487675,49.412936 -68.890232,86.377065 8.159768,37.210968 134.197347,-2.912400 137.103344,-42.941259 140.259450,-81.997657 163.353065,-57.272455 -48.666959,-17.402101 -44.202885,22.748519 -41.575511,62.651819 -36.129695,76.784487 121.466202,23.859107 165.334958,-16.291908 167.968897,-56.176837 172.279975,-82.962256 -43.536662,-44.043391 -16.548869,-4.024434 -13.331318,36.103478 -10.463289,75.719734 1.153362,63.746613 159.631831,10.478191 -163.742184,-29.640556 -161.038461,-69.306254 -153.543271,-70.388054 6.805916,-30.747379 14.787553,9.366031 17.512325,49.412936 21.109768,86.377065 98.159768,50.515772 -167.435170,-2.912400 -132.896656,-42.941259 -129.740550,-81.997657 -106.646935,-57.272455 41.333041,-17.402101 45.797115,22.748519 48.424489,62.651819 53.870305,76.784487 -148.533798,37.210968 -135.802653
61.952644 70.050078,22.039668 75.343800,-18.110481 77.968151,-57.971286 82.536606,-81.365394 -127.541234,-42.237675 -106.461698,-2.202686 -103.342461,37.917573 -100.410507,77.460487 -86.863666,48.708891 102.709500,8.656248 106.249593,-31.453548 108.989146,-71.077286 117.313219,-68.614848 -82.400029,-28.934036 -75.186999,11.187909 -72.495392,51.219323 -68.737577,86.205824 36.129569,35.396541 134.246906,-4.734060 137.092367,-44.746508 140.351597,-83.555491 170.438336,-55.477291 -48.424233,-15.583298 -44.204548,24.567752 -41.565241,64.444740 -35.684582,75.037292 123.253758,22.039668 165.343800,-18.110481 167.968151,-57.971286 172.536606,-81.365394 -37.541234,-42.237675 -16.461698,-2.202686 -13.342461,37.917573 -10.410507,77.460487 3.136334,61.952644 160.050078,8.656248 -163.750407,-31.453548 -161.010854,-71.077286 -152.686781,-68.614848 7.599971,-28.934036 14.813001,11.187909 17.504608,51.219323 21.262423,86.205824 126.129569,48.708891 -167.290500,-4.734060 -132.907633,-44.746508 -129.648403,-83.555491 -99.561664,-55.477291 41.575767,-15.583298 45.795452,24.567752 48.434759,64.444740 54.315418,75.037292 -146.746242,35.396541 -135.753094
60.156242 70.408048,20.219734 75.349259,-19.928431 77.969985,-59.763776 82.833342,-79.701666 -123.475485,-40.430792 -106.386278,-0.380753 -103.353873,39.730786 -100.348771,79.179365 -84.218798,46.900794 102.835516,6.834175 106.240246,-33.265612 109.022731,-72.841680 118.363688,-66.836855 -81.740650,-27.119817 -75.166687,13.009586 -72.501628,53.024377 -68.562307,85.289721 57.251609,33.581294 134.288809,-6.555462 137.081980,-46.550522 140.457675,-84.950732 -178.236435,-53.680394 -48.213478,-13.763938 -44.208353,26.386426 -41.551004,66.234645 -35.159782,73.277127 124.648363,20.219734 165.349259,-19.928431 167.969985,-59.763776 172.833342,-79.701666 -33.475485,-40.430792 -16.386278,-0.380753 -13.353873,39.730786 -10.348771,79.179365 5.781202,60.156242 160.408048,6.834175 -163.759754,-33.265612 -160.977269,-72.841680 -151.636312,-66.836855 8.259350,-27.119817 14.833313,13.009586 17.498372,53.024377 21.437693,85.289721 147.251609,46.900794 -167.164484,-6.555462 -132.918020,-46.550522 -129.542325,-84.950732 -88.236435,-53.680394 41.786522,-13.763938 45.791647,26.386426 48.448996,66.234645 54.840218,73.277127 -145.351637,33.581294 -135.711191
58.357712 70.716005,18.399352 75.351713,-21.745714 77.974742,-61.554091 83.177784,-77.998714 -120.575680,-38.622785 -106.321294,1.441314 -103.365325,41.543072 -100.276986,80.864203 -80.555221,45.091553 102.945194,5.012025 106.230019,-35.076708 109.062989,-74.597352 119.673728,-65.054953 -81.187357,-25.304764 -75.150977,14.831010 -72.506111,54.827996 -68.360880,83.958541 70.297155,31.765270 134.323861,-8.376552 137.072419,-48.353247 140.579567,-86.009251 -159.689507,-51.881889 -48.030133,-11.944067 -44.214008,28.204496 -41.532331,68.020947 -34.535936,71.507570 125.760450,18.399352 165.351713,-21.745714 167.974742,-61.554091 173.177784,-77.998714 -30.575680,-38.622785 -16.321294,1.441314 -13.365325,41.543072 -10.276986,80.864203 9.444779,58.357712 160.716005,5.012025 -163.769981,-35.076708 -160.937011,-74.597352 -150.326272,-65.054953 8.812643,-25.304764 14.849023,14.831010 17.493889,54.827996 21.639120,83.958541 160.297155,45.091553 -167.054806,-8.376552 -132.927581,-48.353247 -129.420433,-86.009251 -69.689507,-51.881889 41.969867,-11.944067 45.785992,28.204496 48.467669,68.020947 55.464064,71.507570 -144.239550,31.765270 -135.676139
56.557291 70.982033,16.578570 75.351511,-23.562285 77.982792,-63.341954 83.579543,-76.270986 -118.422387,-36.813696 -106.265606,3.263461 -103.376589,43.354381 -100.193894,82.492243 -75.232844,43.281229 103.040498,3.189852 106.219151,-36.886798 109.110699,-76.341144 121.341386,-63.269782 -80.719047,-23.488916 -75.139387,16.652131 -72.508556,56.630056 -68.129002,82.428042 78.335595,29.948512 134.352775,-10.197279 137.063927,-50.154622 140.719489,-86.418998 -132.999173,-50.081879 -47.870445,-10.123735 -44.221236,30.021917 -41.508707,69.802840 -33.786977,69.730955 126.663082,16.578570 165.351511,-23.562285 167.982792,-63.341954 173.579543,-76.270986 -28.422387,-36.813696 -16.265606,3.263461 -13.376589,43.354381 -10.193894,82.492243 14.767156,56.557291 160.982033,3.189852 -163.780849,-36.886798 -160.889301,-76.341144 -148.658614,-63.269782 9.280953,-23.488916 14.860613,16.652131 17.491444,56.630056 21.870998,82.428042 168.335595,43.281229 -166.959502,-10.197279 -132.936073,-50.154622 -129.280511,-86.418998 -42.999173,-50.081879 42.129555,-10.123735 45.778764,30.021917 48.491293,69.802840 56.213023,69.730955 -143.336918,29.948512 -135.647225
