-0.121097 -95.055183,71.724889 -84.124373,35.990539 82.347443,-36.185226 87.576043,-71.797342 -106.018114,23.972333 -63.453144,83.037005 84.129195,11.930439 114.194819,-60.019052 121.179640,-48.132352 -69.051465,47.972066 -31.066285,59.900058 138.755107,-12.167161 145.725464,-83.058381 175.882403,-24.192933 -36.658643,71.724889 5.875627,35.990539 172.347443,-36.185226 177.576043,-71.797342 -16.018114,-0.121097 -5.055183,83.037005 174.129195,11.930439 -155.805181,-60.019052 -148.820360,-48.132352 20.948535,23.972333 26.546856,59.900058 -131.244893,-12.167161 -124.274536,-83.058381 -94.117597,-24.192933 53.341357,47.972066 58.933715
74.047769 -87.546965,33.604588 77.423995,-38.563526 82.666920,-69.471373 -109.813114,2.274036 -100.050380,80.918616 86.759347,9.535652 109.204945,-62.371475 116.673738,-45.762201 -73.877441,26.363097 -68.415535,57.535135 134.162491,-14.559187 140.738489,-84.934440 -175.284681,-21.805247 -41.627359,50.347607 -35.862660,33.604588 167.423995,-38.563526 172.666920,-69.471373 -19.813114,2.274036 -10.050380,74.047769 2.453035,9.535652 -160.795055,-62.371475 -153.326262,-45.762201 16.122559,26.363097 21.584465,80.918616 176.759347,-14.559187 -129.261511,-84.934440 -85.284681,-21.805247 48.372641,50.347607 54.137340,57.535135 -135.837509
75.802804 -85.997158,31.788574 77.459130,-40.371569 82.731582,-67.695562 -109.092881,4.096202 -100.061482,79.235197 90.465017,7.713636 109.196109,-64.158103 117.105599,-43.957641 -73.777666,28.181174 -68.396923,55.733914 134.411589,-16.378310 140.735584,-85.999014 -156.849125,-19.987987 -41.622500,52.153316 -35.698708,31.788574 167.459130,-40.371569 172.731582,-67.695562 -19.092881,4.096202 -10.061482,75.802804 4.002842,7.713636 -160.803891,-64.158103 -152.894401,-43.957641 16.222334,28.181174 21.603077,79.235197 -179.534983,-16.378310 -129.264416,-85.999014 -66.849125,-19.987987 48.377500,52.153316 54.301292,55.733914 -135.588411
77.542705 -83.988337,29.971825 77.488119,-42.178489 82.806641,-65.915455 -108.491416,5.918370 -100.072060,77.517203 93.136541,5.891516 109.186276,-65.941716 117.613911,-42.151868 -73.691085,29.998604 -68.373366,53.931061 134.627729,-18.196854 140.734953,-86.419157 -130.231464,-18.170058 -41.620577,53.957642 -35.510391,29.971825 167.488119,-42.178489 172.806641,-65.915455 -18.491416,5.918370 -10.072060,77.542705 6.011663,5.891516 -160.813724,-65.941716 -152.386089,-42.151868 16.308915,29.998604 21.626634,77.517203 -176.863459,-18.196854 -129.265047,-86.419157 -40.231464,-18.170058 48.379423,53.957642 54.489609,53.931061 -135.372271
79.260297 -81.304701,28.154385 77.511599,-43.984244 82.893404,-64.131793 -107.984351,7.740488 -100.081880,75.777036 95.137292,4.069347 109.175689,-67.721766 118.216932,-40.344931 -73.616189,31.815342 -68.344291,52.126714 134.815660,-20.014774 140.736917,-85.987122 -103.699179,-16.351505 -41.621243,55.760472 -35.293802,28.154385 167.511599,-43.984244 172.893404,-64.131793 -17.984351,7.740488 -10.081880,79.260297 8.695299,4.069347 -160.824311,-67.721766 -151.783068,-40.344931 16.383811,31.815342 21.655709,75.777036 -174.862708,-20.014774 -129.263083,-85.987122 -13.699179,-16.351505 48.378757,55.760472 54.706198,52.126714 -135.184340
80.943070 -77.579879,26.336298 77.530142,-45.788786 82.993385,-62.345124 -107.553504,9.562503 -100.090699,74.021815 96.681484,2.247182 109.164581,-69.497507 118.939137,-38.536872 -73.551672,33.631346 -68.309060,50.320986 134.979279,-21.832023 140.741822,-84.915662 -85.391145,-14.532374 -41.624180,57.561667 -35.044179,26.336298 167.530142,-45.788786 172.993385,-62.345124 -17.553504,9.562503 -10.090699,80.943070 12.420121,2.247182 -160.835419,-69.497507 -151.060863,-38.536872 16.448328,33.631346 21.690940,74.021815 -173.318516,-21.832023 -129.258178,-84.915662 4.608855,-14.532374 48.375820,57.561667 54.955821,50.320986 -135.020721
82.567531 -72.154826,24.517608 77.544264,-47.592063 83.108349,-60.555855 -107.185040,11.384363 -100.098269,72.255882 97.902236,0.425073 109.153184,-71.267901 119.814075,-36.727733 -73.496399,35.446571 -68.266957,48.513970 135.121814,-23.648560 140.750038,-83.514216 -74.218736,-12.712713 -41.629088,59.361060 -34.755656,24.517608 167.544264,-47.592063 173.108349,-60.555855 -17.185040,11.384363 -10.098269,82.567531 17.845174,0.425073 -160.846816,-71.267901 -150.185925,-36.727733 16.503601,35.446571 21.733043,72.255882 -172.097764,-23.648560 -129.249962,-83.514216 15.781264,-12.712713 48.370912,59.361060 55.244344,48.513970 -134.878186
84.085636 -63.783659,22.698360 77.554431,-49.394016 83.240361,-58.764297 -106.868248,13.206015 -100.104329,70.482020 98.886127,-1.396926 109.141726,-73.031469 120.888930,-34.917552 -73.449378,37.260975 -68.217175,46.705746 135.245964,-25.464339 140.761972,-81.953288 -67.218834,-10.892570 -41.635685,61.158436 -34.420926,22.698360 167.554431,-49.394016 173.240361,-58.764297 -16.868248,13.206015 -10.104329,84.085636 26.216341,-1.396926 -160.858274,-73.031469 -149.111070,-34.917552 16.550622,37.260975 21.782825,70.482020 -171.113873,-25.464339 -129.238028,-81.953288 22.781166,-10.892570 48.364315,61.158436 55.579074,46.705746 -134.754036
85.391259 -50.149330,20.878600 77.561069,-51.194577 83.391866,-56.970692 -106.594711,15.027408 -100.108606,68.702084 99.691679,-3.218762 109.130435,-74.786036 122.232082,-33.106370 -73.409737,39.074512 -68.158799,44.896385 135.354003,-27.279321 140.778066,-80.309520 -62.569039,-9.071994 -41.643702,62.953523 -34.030772,20.878600 167.561069,-51.194577 173.391866,-56.970692 -16.594711,15.027408 -10.108606,85.391259 39.850670,-3.218762 -160.869565,-74.786036 -147.767918,-33.106370 16.590263,39.074512 21.841201,68.702084 -170.308321,-27.279321 -129.221934,-80.309520 27.430961,-9.071994 48.356298,62.953523 55.969228,44.896385 -134.645997
86.255306 -28.235038,19.058375 77.564569,-52.993668 83.565771,-55.175226 -106.357722,16.848493 -100.110813,66.917357 100.359781,-5.040383 109.119541,-76.528292 123.946157,-31.294223 -73.376703,40.887139 -68.090788,43.085949 135.447861,-29.093464 140.798807,-78.618617 -59.308732,-7.251037 -41.652884,64.745971 -33.573392,19.058375 167.564569,-52.993668 173.565771,-55.175226 -16.357722,16.848493 -10.110813,86.255306 61.764962,-5.040383 -160.880459,-76.528292 -146.053843,-31.294223 16.623297,40.887139 21.909212,66.917357 -169.640219,-29.093464 -129.201193,-78.618617 30.691268,-7.251037 48.347116,64.745971 56.426608,43.085949 -134.552139
86.349549 -0.094807,17.237731 77.565289,-54.791193 83.765567,-53.378050 -106.151871,18.669219 -100.110643,65.128749 100.919815,-6.861736 109.109276,-78.252970 126.191653,-29.481151 -73.349592,42.698807 -68.011946,41.274492 135.529190,-30.906729 140.824734,-76.898675 -56.920228,-5.429748 -41.662984,66.535317 -33.033442,17.237731 167.565289,-54.791193 173.765567,-53.378050 -16.151871,18.669219 -10.110643,86.349549 89.905193,-6.861736 -160.890724,-78.252970 -143.808347,-29.481151 16.650408,42.698807 21.988054,65.128749 -169.080185,-30.906729 -129.175266,-76.898675 33.079772,-5.429748 48.337016,66.535317 56.966558,41.274492 -134.470810
85.623975 23.692743,15.416719 77.563564,-56.587035 83.995483,-51.579286 -105.972747,20.489538 -100.107766,63.336921 101.393412,-8.682769 109.099878,-79.951233 129.231977,-27.667192 -73.327789,44.509467 -67.920896,39.462066 135.599411,-32.719077 140.856447,-75.159645 -55.108653,-3.608180 -41.673763,68.320940 -32.390601,15.416719 167.563564,-56.587035 173.995483,-51.579286 -15.972747,20.489538 -10.107766,85.623975 113.692743,-8.682769 -160.900122,-79.951233 -140.768023,-27.667192 16.672211,44.509467 22.079104,63.336921 -168.606588,-32.719077 -129.143553,-75.159645 34.891347,-3.608180 48.326237,68.320940 57.609399,39.462066 -134.400589
84.387989 38.870041,13.595387 77.559705,-58.381053 84.260694,-49.779031 -105.816716,22.309401 -100.101830,61.542364 101.796842,-10.503430 109.091591,-81.607258 133.523889,-25.852387 -73.310744,46.319062 -67.816040,37.648719 135.659754,-34.530469 140.894614,-73.407381 -53.696346,-1.786386 -41.684989,70.101993 -31.617402,13.595387 167.559705,-58.381053 174.260694,-49.779031 -15.816716,22.309401 -10.101830,84.387989 128.870041,-10.503430 -160.908409,-81.607258 -136.476111,-25.852387 16.689256,46.319062 22.183960,61.542364 -168.203158,-34.530469 -129.105386,-73.407381 36.303654,-1.786386 48.315011,70.101993 58.382598,37.648719 -134.340246
82.903373 48.126160,11.773786 77.554002,-60.173067 84.567597,-47.977370 -105.680757,24.128763 -100.092452,59.745453 102.142568,-12.323670 109.084668,-83.190393 139.905796,-24.036774 -73.297960,48.127534 -67.695512,35.834497 135.711292,-36.340866 140.939988,-71.645524 -52.570801,0.035583 -41.696430,71.877286 -30.675832,11.773786 167.554002,-60.173067 174.567597,-47.977370 -15.680757,24.128763 -10.092452,82.903373 138.126160,-12.323670 -160.915332,-83.190393 -130.094204,-24.036774 16.702040,48.127534 22.304488,59.745453 -167.857432,-36.340866 -129.060012,-71.645524 37.429199,0.035583 48.303570,71.877286 59.324168,35.834497 -134.288708
81.296345 54.048067,9.951967 77.546733,-61.962848 84.924204,-46.174371 -105.562334,25.947576 -100.079214,57.946472 102.440298,-14.143438 109.079376,-84.635942 149.971365,-22.220396 -73.288984,49.934815 -67.557118,34.019443 135.754966,-38.150232 140.993418,-69.876446 -51.657673,1.857673 -41.707859,73.645109 -29.511824,9.951967 167.546733,-61.962848 174.924204,-46.174371 -15.562334,25.947576 -10.079214,81.296345 144.048067,-14.143438 -160.920624,-84.635942 -120.028635,-22.220396 16.711016,49.934815 22.442882,57.946472 -167.559702,-38.150232 -129.006582,-69.876446 38.342327,1.857673 48.292141,73.645109 60.488176,34.019443 -134.245034
79.623517 58.066873,8.129981 77.538159,-63.750104 85.340675,-44.370095 -105.459307,27.765796 -100.061657,56.145646 102.697701,-15.962686 109.075993,-85.799598 166.488549,-20.403295 -73.283404,51.740826 -67.398258,32.203603 135.791603,-39.958525 141.055869,-68.101749 -50.906017,3.679831 -41.719048,75.402918 -28.045996,8.129981 167.538159,-63.750104 175.340675,-44.370095 -15.459307,27.765796 -10.061657,79.623517 148.066873,-15.962686 -160.924007,-85.799598 -103.511451,-20.403295 16.716596,51.740826 22.601742,56.145646 -167.302299,-39.958525 -128.944131,-68.101749 39.093983,3.679831 48.280952,75.402918 61.954004,32.203603 -134.208397
77.912060 60.935206,6.307880 77.528533,-65.534449 85.830090,-42.564595 -105.369854,29.583377 -100.039278,54.343153 102.920918,-17.781367 109.074815,-86.397174 -168.419598,-18.585515 -73.280841,53.545478 -67.215826,30.387018 135.821937,-41.765706 141.128443,-66.322549 -50.279832,5.502004 -41.729766,77.146781 -26.157356,6.307880 167.528533,-65.534449 175.830090,-42.564595 -15.369854,29.583377 -10.039278,77.912060 150.935206,-17.781367 -160.925185,-86.397174 -78.419598,-18.585515 16.719159,53.545478 22.784174,54.343153 -167.079082,-41.765706 -128.871557,-66.322549 39.720168,5.502004 48.270234,77.146781 63.842644,30.387018 -134.178063
76.176195 63.066394,4.485718 77.518097,-67.315370 86.409573,-40.757920 -105.292409,31.400277 -100.011518,52.539137 103.114924,-19.599433 109.076157,-86.155060 -140.810840,-16.767100 -73.280945,55.348660 -67.006083,28.569732 135.846623,-43.571731 141.212406,-64.539646 -49.752987,7.324138 -41.739780,78.870322 -23.653214,4.485718 167.518097,-67.315370 176.409573,-40.757920 -15.292409,31.400277 -10.011518,76.176195 153.066394,-19.599433 -160.923843,-86.155060 -50.810840,-16.767100 16.719055,55.348660 22.993917,52.539137 -166.885076,-43.571731 -128.787594,-64.539646 40.247013,7.324138 48.260220,78.870322 66.346786,28.569732 -134.153377
74.423956 64.700962,2.663547 77.507088,-69.092175 87.101973,-38.950114 -105.225626,33.216453 -99.977754,50.733715 103.283792,-21.416840 109.080358,-85.198627 -120.486418,-14.948097 -73.283390,57.150243 -66.764480,26.751789 135.866247,-45.376554 141.309222,-62.753624 -49.306078,9.146181 -41.748850,80.562589 -20.210554,2.663547 167.507088,-69.092175 177.101973,-38.950114 -15.225626,33.216453 -9.977754,74.423956 154.700962,-21.416840 -160.919642,-85.198627 -30.486418,-14.948097 16.716610,57.150243 23.235520,50.733715 -166.716208,-45.376554 -128.690778,-62.753624 40.693922,9.146181 48.251150,80.562589 69.789446,26.751789 -134.133753
72.660183 65.986684,0.841421 77.495737,-70.863902 87.938438,-37.141218 -105.168333,35.031859 -99.937289,48.926985 103.430890,-23.233543 109.087783,-83.852635 -107.973650,-13.128553 -73.287873,58.950064 -66.485431,24.933233 135.881336,-47.180125 141.420592,-60.964918 -48.924400,10.968081 -41.756728,82.203387 -15.255997,0.841421 167.495737,-70.863902 177.938438,-37.141218 -15.168333,35.031859 -9.937289,72.660183 155.986684,-23.233543 -160.912217,-83.852635 -17.973650,-13.128553 16.712127,58.950064 23.514569,48.926985 -166.569110,-47.180125 -128.579408,-60.964918 41.075600,10.968081 48.243272,82.203387 74.744003,24.933233 -134.118664
70.887942 67.018734,-0.980608 77.484273,-72.629191 88.962508,-35.331272 -105.119507,36.846454 -99.889338,47.119031 103.559026,-25.049499 109.098830,-82.319125 -100.223094,-11.308516 -73.294108,60.747923 -66.161995,23.114109 135.892368,-48.982386 141.548508,-59.173860 -48.596615,12.789785 -41.763156,83.752233 -7.715268,-0.980608 167.484273,-72.629191 178.962508,-35.331272 -15.119507,36.846454 -9.889338,70.887942 157.018734,-25.049499 -160.901170,-82.319125 -10.223094,-11.308516 16.705892,60.747923 23.838005,47.119031 -166.440974,-48.982386 -128.451492,-59.173860 41.403385,12.789785 48.236844,83.752233 82.284732,23.114109 -134.107632
69.109265 67.860917,-2.802486 77.472924,-74.386056 90.236822,-33.520315 -105.078251,38.660194 -99.833013,45.309925 103.670565,-26.864667 109.113932,-80.690186 -95.143741,-9.488035 -73.301824,62.543561 -65.785439,21.294461 135.899777,-50.783272 141.695321,-57.380704 -48.313839,14.611242 -41.767866,85.120957 4.443368,-2.802486 167.472924,-74.386056 -179.763178,-33.520315 -15.078251,38.660194 -9.833013,69.109265 157.860917,-26.864667 -160.886068,-80.690186 -5.143741,-9.488035 16.698176,62.543561 24.214561,45.309925 -166.329435,-50.783272 -128.304679,-57.380704 41.686161,14.611242 48.232134,85.120957 94.443368,21.294461 -134.100223
67.325541 68.557495,-4.624161 77.461919,-76.131501 91.854598,-31.708385 -105.043771,40.473033 -99.767303,43.499729 103.767509,-28.679005 109.133566,-79.008032 -91.622877,-7.667160 -73.310761,64.336648 -65.344626,19.474338 135.903962,-52.582707 141.863823,-55.585649 -48.069017,16.432401 -41.770572,86.114486 24.297139,-4.624161 167.461919,-76.131501 -178.145402,-31.708385 -15.043771,40.473033 -9.767303,67.325541 158.557495,-28.679005 -160.866434,-79.008032 -1.622877,-7.667160 16.689239,64.336648 24.655374,43.499729 -166.232491,-52.582707 -128.136177,-55.585649 41.930983,16.432401 48.229428,86.114486 114.297139,19.474338 -134.096038
65.537754 69.140081,-6.445580 77.451489,-77.860808 93.960168,-29.895521 -105.015363,42.284925 -99.691049,41.688500 103.851569,-30.492474 109.158258,-77.293642 -89.066961,-5.845943 -73.320673,66.126751 -64.825127,17.653786 135.905287,-54.380599 142.057359,-53.788852 -47.856472,18.253214 -41.770973,86.406912 51.797816,-6.445580 167.451489,-77.860808 -176.039832,-29.895521 -15.015363,42.284925 -9.691049,65.537754 159.140081,-30.492474 -160.841742,-77.293642 0.933039,-5.845943 16.679327,66.126751 25.174873,41.688500 -166.148431,-54.380599 -127.942641,-53.788852 42.143528,18.253214 48.229027,86.406912 141.797816,17.653786 -134.094713
63.746613 69.631831,-8.266690 77.441871,-79.566169 96.787658,-28.081762 -104.992398,44.095819 -99.602921,39.876292 103.924213,-32.305035 109.188592,-75.558350 -87.142363,-4.024434 -73.331318,67.913290 -64.207917,15.832854 135.904093,-56.176837 142.279975,-51.990442 -47.671587,20.073630 -41.768745,85.847403 77.389287,-8.266690 167.441871,-79.566169 -173.212342,-28.081762 -14.992398,44.095819 -9.602921,63.746613 159.631831,-32.305035 -160.811408,-75.558350 2.857637,-4.024434 16.668682,67.913290 25.792083,39.876292 -166.075787,-56.176837 -127.720025,-51.990442 42.328413,20.073630 48.231255,85.847403 167.389287,15.832854 -134.095907
61.952644 70.050078,-10.087441 77.433308,-81.233822 100.737790,-26.267146 -104.974312,45.905663 -99.501374,38.063151 103.986713,-34.116648 109.225221,-73.808729 -85.650538,-2.202686 -73.342461,69.695477 -63.467406,14.011591 135.900694,-57.971286 142.536606,-50.190520 -47.510565,21.893602 -41.763541,84.699157 94.383213,-10.087441 167.433308,-81.233822 -169.262210,-26.267146 -14.974312,45.905663 -9.501374,61.952644 160.050078,-34.116648 -160.774779,-73.808729 4.349462,-2.202686 16.657539,69.695477 26.532594,38.063151 -166.013287,-57.971286 -127.463394,-50.190520 42.489435,21.893602 48.236459,84.699157 -175.616787,14.011591 -134.099306
60.156242 70.408048,-11.907781 77.426051,-82.837609 106.536986,-24.451714 -104.960595,47.714398 -99.384608,36.249125 104.040176,-35.927277 109.268877,-72.048819 -84.467101,-0.380753 -73.353873,71.472214 -62.568380,12.190047 135.895388,-59.763776 142.833342,-48.389173 -47.370258,23.713082 -41.754985,83.256420 104.716856,-11.907781 167.426051,-82.837609 -163.463014,-24.451714 -14.960595,47.714398 -9.384608,60.156242 160.408048,-35.927277 -160.731123,-72.048819 5.532899,-0.380753 16.646127,71.472214 27.431620,36.249125 -165.959824,-59.763776 -127.166658,-48.389173 42.629742,23.713082 48.245015,83.256420 -165.283144,12.190047 -134.104612
58.357712 70.716005,-13.727661 77.420362,-84.323377 115.561779,-22.635507 -104.950787,49.521957 -99.250509,34.434258 104.085570,-37.736881 109.320386,-70.281228 -83.510602,1.441314 -73.365325,73.241931 -61.461088,10.368273 135.888453,-61.554091 143.177784,-46.586474 -47.248030,25.532024 -41.742667,81.670748 111.240070,-13.727661 167.420362,-84.323377 -154.438221,-22.635507 -14.950787,49.521957 -9.250509,58.357712 160.716005,-37.736881 -160.679614,-70.281228 6.489398,1.441314 16.634675,73.241931 28.538912,34.434258 -165.914430,-61.554091 -126.822216,-46.586474 42.751970,25.532024 48.257333,81.670748 -158.759930,10.368273 -134.111547
56.557291 70.982033,-15.547033 77.416518,-85.570947 130.312669,-20.818568 -104.944465,51.328266 -99.096579,32.618593 104.123747,-39.545423 109.380683,-68.507702 -82.725664,3.263461 -73.376589,75.002313 -60.073038,8.546320 135.880155,-63.341954 143.579543,-44.782485 -47.141657,27.350384 -41.726140,80.009868 115.609967,-15.547033 167.416518,-85.570947 -139.687331,-20.818568 -14.944465,51.328266 -9.096579,56.557291 160.982033,-39.545423 -160.619317,-68.507702 7.274336,3.263461 16.623411,75.002313 29.926962,32.618593 -165.876253,-63.341954 -126.420457,-44.782485 42.858343,27.350384 48.273860,80.009868 -154.390033,8.546320 -134.119845
54.755165 71.212586,-17.365847 77.414809,-86.329047 153.553675,-19.000939 -104.941244,53.133236 -98.919838,30.802175 104.155461,-41.352862 109.450839,-66.729451 -82.073407,5.085635 -73.387436,76.749813 -58.294745,6.724241 135.870748,-65.127003 144.050949,-42.977261 -47.049248,29.168115 -41.704910,78.305667 118.696052,-17.365847 167.414809,-86.329047 -116.446325,-19.000939 -14.941244,53.133236 -8.919838,54.755165 161.212586,-41.352862 -160.549161,-66.729451 7.926593,5.085635 16.612564,76.749813 31.705255,30.802175 -165.844539,-65.127003 -125.949051,-42.977261 42.950752,29.168115 48.295090,78.305667 -151.303948,6.724241 -134.129252
52.951486 71.412879,-19.184058 77.415546,-86.284954 -178.362639,-17.182665 -104.940768,54.936765 -98.716704,28.985045 104.181384,-43.159155 109.532079,-64.947336 -81.525777,6.907783 -73.397632,78.478749 -55.953690,4.902088 135.860476,-66.908761 144.608078,-41.170850 -46.969185,30.985175 -41.678432,76.574511 120.969929,-19.184058 167.415546,-86.284954 -88.362639,-17.182665 -14.940768,54.936765 -8.716704,52.951486 161.412879,-43.159155 -160.467921,-64.947336 8.474223,6.907783 16.602368,78.478749 34.046310,28.985045 -165.818616,-66.908761 -125.391922,-41.170850 43.030815,30.985175 48.321568,76.574511 -149.030071,4.902088 -134.139524
51.146376 71.587171,-21.001619 77.419062,-85.461989 -155.998230,-15.363792 -104.942706,56.738727 -98.482832,27.167249 104.202116,-44.964257 109.625817,-63.161983 -81.062043,8.729851 -73.406938,80.179497 -52.764224,3.079915 135.849577,-68.686579 145.272282,-39.363298 -46.900075,32.801519 -41.646098,74.825502 122.702434,-21.001619 167.419062,-85.461989 -65.998230,-15.363792 -14.942706,56.738727 -8.482832,51.146376 161.587171,-44.964257 -160.374183,-63.161983 8.937957,8.729851 16.593062,80.179497 37.235776,27.167249 -165.797884,-68.686579 -124.727718,-39.363298 43.099925,32.801519 48.353902,74.825502 -147.297566,3.079915 -134.150423
49.339937 71.738977,-22.818487 77.425717,-84.181705 -141.971283,-13.544368 -104.946750,58.538967 -98.212896,25.348829 104.218198,-46.768119 109.733697,-61.373859 -80.666564,10.551788 -73.415111,81.834621 -48.226023,1.257773 135.838283,-70.459570 146.072521,-37.554648 -46.840709,34.617105 -41.607231,73.064045 124.058012,-22.818487 167.425717,-84.181705 -51.971283,-13.544368 -14.946750,58.538967 -8.212896,49.339937 161.738977,-46.768119 -160.266303,-61.373859 9.333436,10.551788 16.584889,81.834621 41.773977,25.348829 -165.781802,-70.459570 -123.927479,-37.554648 43.159291,34.617105 48.392769,73.064045 -145.941988,1.257773 -134.161717
47.532256 71.871224,-24.634618 77.435899,-82.680164 -133.362821,-11.724439 -104.952609,60.337294 -97.900299,23.529830 104.230117,-48.570685 109.857639,-59.583313 -80.327325,12.373542 -73.421894,83.409851 -41.411811,-0.564282 135.826825,-72.226477 147.049030,-35.744938 -46.790032,36.431890 -41.561065,71.293531 125.141507,-24.634618 167.435899,-82.680164 -43.362821,-11.724439 -14.952609,60.337294 -7.900299,47.532256 161.871224,-48.570685 -160.142361,-59.583313 9.672675,12.373542 16.578106,83.409851 48.588189,23.529830 -165.769883,-72.226477 -122.950970,-35.744938 43.209968,36.431890 48.438935,71.293531 -144.858493,-0.564282 -134.173175
45.723407 71.986367,-26.449969 77.450034,-81.068152 -127.797808,-9.904055 -104.960009,62.133465 -97.536764,21.710298 104.238317,-50.371891 109.999906,-57.790617 -80.034944,14.195060 -73.427021,84.831814 -30.555668,-2.386200 135.815430,-73.985487 148.259294,-33.934209 -46.747119,38.245829 -41.506737,69.516183 126.022604,-26.449969 167.450034,-81.068152 -37.797808,-9.904055 -14.960009,62.133465 -7.536764,45.723407 161.986367,-50.371891 -160.000094,-57.790617 9.965056,14.195060 16.572979,84.831814 59.444332,21.710298 -165.761683,-73.985487 -121.740706,-33.934209 43.252881,38.245829 48.493263,69.516183 -143.977396,-2.386200 -134.184570
43.913455 72.086485,-28.264500 77.468588,-79.395800 -123.986403,-8.083266 -104.968690,63.927169 -97.111770,19.890279 104.243205,-52.171665 110.163179,-55.995981 -79.781994,16.016292 -73.430211,85.936482 -12.712056,-4.207926 135.804326,-75.733879 149.788158,-32.122498 -46.711156,40.058878 -41.443268,67.733514 126.749291,-28.264500 167.468588,-79.395800 -33.986403,-8.083266 -14.968690,63.927169 -7.111770,43.913455 162.086485,-52.171665 -159.836821,-55.995981 10.218006,16.016292 16.569789,85.936482 77.287944,19.890279 -165.756795,-75.733879 -120.211842,-32.122498 43.288844,40.058878 48.556732,67.733514 -143.250709,-4.207926 -134.195674
42.102458 72.173351,-30.078172 77.492075,-77.687537 -121.246133,-6.262122 -104.978400,65.717999 -96.611737,18.069821 104.245153,-53.969918 110.350666,-54.199570 -79.562514,17.837188 -73.431166,86.417369 13.567477,-6.029407 135.793744,-77.467420 151.765730,-30.309844 -46.681418,41.870990 -41.369534,65.946585 127.355628,-30.078172 167.492075,-77.687537 -31.246133,-6.262122 -14.978400,65.717999 -6.611737,42.102458 162.173351,-53.969918 -159.649334,-54.199570 10.437486,17.837188 16.568834,86.417369 103.567477,18.069821 -165.754847,-77.467420 -118.234270,-30.309844 43.318582,41.870990 48.630466,65.946585 -142.644372,-6.029407 -134.206256
40.290469 72.248485,-31.890943 77.521065,-75.956317 -119.198378,-4.440675 -104.988898,67.505413 -96.018833,16.248972 104.244506,-55.766545 110.566238,-52.401519 -79.371669,19.657699 -73.429568,86.040327 40.594246,-7.850593 135.783920,-79.179184 154.400700,-28.496286 -46.657261,43.682117 -41.284247,64.156158 127.866429,-31.890943 167.521065,-75.956317 -29.198378,-4.440675 -14.988898,67.505413 -6.018833,40.290469 162.248485,-55.766545 -159.433762,-52.401519 10.628331,19.657699 16.570432,86.040327 130.594246,16.248972 -165.755494,-79.179184 -115.599300,-28.496286 43.342739,43.682117 48.715753,64.156158 -142.133571,-7.850593 -134.216080
38.477537 72.313201,-33.702776 77.556195,-74.209545 -117.620662,-2.618978 -104.999948,69.288678 -95.309191,14.427780 104.241584,-57.561417 110.814606,-50.601934 -79.205494,21.477776 -73.425077,84.995629 59.550418,-9.671430 135.775094,-80.857155 158.045699,-26.681862 -46.638107,45.492206 -41.185915,62.362796 128.300179,-33.702776 167.556195,-74.209545 -27.620662,-2.618978 -14.999948,69.288678 -5.309191,38.477537 162.313201,-57.561417 -159.185394,-50.601934 10.794506,21.477776 16.574923,84.995629 149.550418,14.427780 -165.758416,-80.857155 -111.954301,-26.681862 43.361893,45.492206 48.814085,62.362796 -141.699821,-9.671430 -134.224906
36.663709 72.368639,-35.513633 77.598176,-72.451716 -116.375147,-0.797082 -105.011319,71.066779 -94.450146,12.606295 104.236689,-59.354372 111.101570,-48.800906 -79.060702,23.297373 -73.417321,83.602324 71.114219,-11.491869 135.767516,-82.478913 163.331728,-24.866613 -46.623434,47.301199 -41.072800,60.566921 128.670925,-35.513633 167.598176,-72.451716 -26.375147,-0.797082 -15.011319,71.066779 -4.450146,36.663709 162.368639,-59.354372 -158.898430,-48.800906 10.939298,23.297373 16.582679,83.602324 161.114219,12.606295 -165.763311,-82.478913 -106.668272,-24.866613 43.376566,47.301199 48.927200,60.566921 -141.329075,-11.491869 -134.232484
34.849030 72.415797,-37.323475 77.647812,-70.685702 -115.372424,1.024959 -105.022782,72.838271 -93.395839,10.784569 104.230102,-61.145205 111.434346,-46.998510 -78.934553,25.116442 -73.405901,82.041357 78.322752,-13.311858 135.761445,-83.998942 171.446338,-23.050580 -46.612771,49.109033 -40.942867,58.768854 128.989529,-37.323475 167.647812,-70.685702 -25.372424,1.024959 -15.022782,72.838271 -3.395839,34.849030 162.415797,-61.145205 -158.565654,-46.998510 11.065447,25.116442 16.594099,82.041357 168.322752,10.784569 -165.769898,-83.998942 -98.553662,-23.050580 43.387229,49.109033 49.057133,58.768854 -141.010471,-13.311858 -134.238555
33.033544 72.455553,-39.132263 77.706012,-68.913409 -114.552195,2.847093 -105.034109,74.601044 -92.079953,8.962653 104.222093,-62.933657 111.822033,-45.194811 -78.824734,26.934939 -73.390377,80.394016 83.087562,-15.131350 135.757154,-85.317341 -175.395271,-21.233804 -46.605688,50.915635 -40.793712,56.968847 129.264517,-39.132263 167.706012,-68.913409 -24.552195,2.847093 -15.034109,74.601044 -2.079953,33.033544 162.455553,-62.933657 -158.177967,-45.194811 11.175266,26.934939 16.609623,80.394016 173.087562,8.962653 -165.777907,-85.317341 -85.395271,-21.233804 43.394312,50.915635 49.206288,56.968847 -140.735483,-15.131350 -134.242846
